iter	Logloss
0	0.6257019518
1	0.5739292066
2	0.5327024025
3	0.5016226715
4	0.4811958406
5	0.4630960727
6	0.4517621881
7	0.440723042
8	0.4356976718
9	0.4270589012
10	0.4201382624
11	0.4162095186
12	0.4127216549
13	0.4088541807
14	0.4044313035
15	0.4018861818
16	0.3991803595
17	0.3975301843
18	0.3959200157
19	0.3941468126
20	0.3906343627
21	0.389860915
22	0.3876291253
23	0.386487504
24	0.384340984
25	0.3836161404
26	0.3826756297
27	0.3814948254
28	0.380760267
29	0.3790201079
30	0.3780674309
31	0.3769219612
32	0.3759682072
33	0.3752595375
34	0.3750868207
35	0.3734478487
36	0.3720510291
37	0.3708492209
38	0.3698599984
39	0.3685678225
40	0.3671295717
41	0.3660379206
42	0.3643168051
43	0.3642104282
44	0.3639627518
45	0.363785894
46	0.362250769
47	0.3621580761
48	0.3620759743
49	0.3619856922
