iter	Passed	Remaining
0	66	3281
1	117	2831
2	234	3668
3	354	4080
4	456	4108
5	612	4490
6	733	4507
7	834	4382
8	893	4071
9	986	3945
10	1091	3870
11	1177	3729
12	1247	3551
13	1311	3372
14	1371	3200
15	1425	3029
16	1482	2877
17	1524	2710
18	1569	2560
19	1669	2504
20	1728	2387
21	1774	2258
22	1824	2142
23	1865	2020
24	1907	1907
25	1948	1798
26	2014	1716
27	2082	1636
28	2130	1542
29	2262	1508
30	2386	1462
31	2439	1372
32	2482	1279
33	2528	1189
34	2621	1123
35	2686	1044
36	2764	971
37	2825	892
38	2885	813
39	2936	734
40	2988	656
41	3041	579
42	3089	502
43	3132	427
44	3181	353
45	3233	281
46	3287	209
47	3332	138
48	3422	69
49	3480	0
