iter	Logloss
0	0.6798865162
1	0.6675164706
2	0.656121614
3	0.6445303416
4	0.6341612195
5	0.6234543563
6	0.6142120861
7	0.6053961586
8	0.5966937203
9	0.5880664268
10	0.5798432569
11	0.5729283303
12	0.5663162914
13	0.5598188288
14	0.5545544287
15	0.5488442207
16	0.5433892852
17	0.5375934472
18	0.5325054371
19	0.5290200588
20	0.5243478344
21	0.5198385218
22	0.5154024166
23	0.5114873823
24	0.5081187669
25	0.5044838643
26	0.5007509264
27	0.4972470826
28	0.4945306088
29	0.4912127489
30	0.4881734712
31	0.485238384
32	0.482676817
33	0.4802471966
34	0.4775985563
35	0.475046043
36	0.4731097776
37	0.4712299961
38	0.469585179
39	0.4673665681
40	0.4653623525
41	0.4635549153
42	0.4615889404
43	0.4600341569
44	0.4580283866
45	0.4566010326
46	0.4551733241
47	0.4537472948
48	0.4524818845
49	0.4511466035
50	0.449759844
51	0.4485416988
52	0.4469242288
53	0.4455223215
54	0.4442655175
55	0.4429435105
56	0.4415131411
57	0.4403100065
58	0.4393996938
59	0.4381662775
60	0.4371081986
61	0.4361061522
62	0.435206741
63	0.4342145253
64	0.4333320752
65	0.4326444779
66	0.4316880789
67	0.430856043
68	0.4300769095
69	0.4291369753
70	0.4283108858
71	0.4275329658
72	0.4269064319
73	0.4263534142
74	0.4255675897
75	0.4250381774
76	0.424173159
77	0.4235568797
78	0.4230614026
79	0.4224417509
80	0.4218305361
81	0.4212967569
82	0.4205368646
83	0.4198683956
84	0.4191912468
85	0.4186532641
86	0.4182180163
87	0.4177333271
88	0.4172569538
89	0.4166582875
90	0.4161126203
91	0.415604212
92	0.4151761317
93	0.4147237196
94	0.41426946
95	0.4138242171
96	0.4133399244
97	0.4129301361
98	0.4124209229
99	0.4118581594
100	0.4115511272
101	0.4112103928
102	0.4110118675
103	0.4106211859
104	0.4102121112
105	0.4099155351
106	0.4095685609
107	0.4091718718
108	0.4087088122
109	0.4083991439
110	0.4080784484
111	0.4077385476
112	0.407427906
113	0.4070664201
114	0.4069413849
115	0.4065081229
116	0.4060994901
117	0.4058251666
118	0.4053684054
119	0.405008911
120	0.4047178627
121	0.4044597735
122	0.4042155904
123	0.4039752713
124	0.4037070672
125	0.4033944848
126	0.4031599714
127	0.4027965841
128	0.4025439644
129	0.4021456927
130	0.4018818386
131	0.4017038443
132	0.4014674292
133	0.4011838551
134	0.4009355575
135	0.4007299252
136	0.4003580858
137	0.4000334556
138	0.3996982638
139	0.3994747398
140	0.3992362638
141	0.3988867525
142	0.3986751216
143	0.3983376009
144	0.3980841726
145	0.3977816502
146	0.3975423517
147	0.3972687973
148	0.3969947802
149	0.3967485756
150	0.3965437726
151	0.3963206833
152	0.3960838645
153	0.3957358076
154	0.3955077938
155	0.3951523114
156	0.3949930007
157	0.3947352076
158	0.3945314749
159	0.3942595359
160	0.3939659547
161	0.3936891179
162	0.3934924902
163	0.3933250638
164	0.3931541391
165	0.3929655279
166	0.3928066834
167	0.3925090155
168	0.3922460256
169	0.3920464477
170	0.3918215692
171	0.3915659882
172	0.3913699101
173	0.3911334387
174	0.3909449865
175	0.3908000713
176	0.3906225134
177	0.3904433364
178	0.3902842563
179	0.3900288488
180	0.3898578506
181	0.3897390136
182	0.3895856002
183	0.3893704465
184	0.3892381888
185	0.3890475329
186	0.3888617166
187	0.3887290654
188	0.3885945218
189	0.3884953169
190	0.3882161642
191	0.3880667846
192	0.3878575258
193	0.3877181983
194	0.3875476649
195	0.387374977
196	0.3871556928
197	0.3870656129
198	0.3869041706
199	0.3867650526
200	0.3865268212
201	0.3863071709
202	0.3860981106
203	0.3859027747
204	0.3858543473
205	0.3856249355
206	0.385402825
207	0.3852573527
208	0.3851534256
209	0.3848630214
210	0.3846985999
211	0.38460445
212	0.3844423431
213	0.3843158654
214	0.3841064312
215	0.3838288488
216	0.3836878849
217	0.3834798513
218	0.3832528357
219	0.383080226
220	0.3829456216
221	0.3827231769
222	0.3826035055
223	0.3825168604
224	0.3822913871
225	0.3820337558
226	0.3818756192
227	0.3817620704
228	0.3816343856
229	0.3815785612
230	0.3813770793
231	0.3811817436
232	0.3810680402
233	0.3807451391
234	0.3805377789
235	0.3802938035
236	0.3800717361
237	0.3799606264
238	0.3798523885
239	0.3797302765
240	0.3795375868
241	0.379433393
242	0.379189304
243	0.3790692339
244	0.3789690578
245	0.3787061506
246	0.378511006
247	0.3782670377
248	0.3780703755
249	0.3779476988
250	0.3779273335
251	0.377684762
252	0.3776110389
253	0.3773802697
254	0.3771708383
255	0.3770418615
256	0.3768967586
257	0.3766620916
258	0.376464749
259	0.376322399
260	0.3762346856
261	0.3761512238
262	0.3759822034
263	0.3757629363
264	0.3755895485
265	0.375447002
266	0.3754397959
267	0.3753144158
268	0.3751490066
269	0.3750135425
270	0.3749009591
271	0.3746066182
272	0.3745313523
273	0.3743770494
274	0.374186983
275	0.3739570605
276	0.3737813854
277	0.3736309818
278	0.3735394116
279	0.3734708169
280	0.3733177187
281	0.3730172175
282	0.3728899894
283	0.3727411753
284	0.3724975804
285	0.3724343245
286	0.3721104669
287	0.3719007841
288	0.3717011252
289	0.3715513767
290	0.3713308978
291	0.3711117176
292	0.3709070704
293	0.3707719496
294	0.3707604395
295	0.3706363287
296	0.3706294765
297	0.3704617812
298	0.3703862253
299	0.3702174414
300	0.3700969464
301	0.3700147975
302	0.3698794001
303	0.3697852895
304	0.3694733398
305	0.3693130777
306	0.3691161318
307	0.3689958401
308	0.3688719432
309	0.3686488756
310	0.3685316714
311	0.3685231429
312	0.3684099341
313	0.3682544679
314	0.3681281448
315	0.3679763315
316	0.3678722165
317	0.3677516954
318	0.3676374157
319	0.3675458199
320	0.367375521
321	0.3672295059
322	0.3669469251
323	0.3667873059
324	0.3665268223
325	0.3664401088
326	0.3663591714
327	0.3661755603
328	0.3660940812
329	0.3658953276
330	0.3657349546
331	0.3655271256
332	0.3653371301
333	0.3651818481
334	0.3650944487
335	0.3650075292
336	0.3647703604
337	0.3646593717
338	0.3644573898
339	0.3642733175
340	0.3642111845
341	0.3640467541
342	0.3638791621
343	0.363622916
344	0.3635158742
345	0.3634135749
346	0.3632490064
347	0.3630013549
348	0.3627784072
349	0.3625845177
350	0.362497709
351	0.3624061542
352	0.3622660323
353	0.3621190491
354	0.3619724289
355	0.3618790993
356	0.3617644976
357	0.3615843435
358	0.3613743417
359	0.3612713208
360	0.3611924943
361	0.3610364498
362	0.36090918
363	0.3607121573
364	0.3604945897
365	0.3602435161
366	0.3601147751
367	0.3599647899
368	0.3598433817
369	0.3596655678
370	0.3595609162
371	0.3593903663
372	0.3592159897
373	0.3590409826
374	0.3588790496
375	0.3586778951
376	0.3585764926
377	0.3584168262
378	0.3582805266
379	0.3580714463
380	0.3579670901
381	0.3578330489
382	0.3577093118
383	0.3576280563
384	0.3574791095
385	0.3573185828
386	0.3571470584
387	0.3571466644
388	0.3569761037
389	0.3567707551
390	0.3565978035
391	0.3564924732
392	0.3562636302
393	0.3561184442
394	0.3559800401
395	0.3558504221
396	0.3557143624
397	0.3555781875
398	0.3554651415
399	0.3553192708
400	0.3551664433
401	0.3550091928
402	0.3549201851
403	0.3548257363
404	0.3547380279
405	0.354566208
406	0.3544069355
407	0.3542902605
408	0.3542183643
409	0.3540059144
410	0.3538828339
411	0.353731797
412	0.3535027488
413	0.3534071726
414	0.3532297664
415	0.3530262362
416	0.3529769076
417	0.3528722576
418	0.3527792563
419	0.3527028497
420	0.352559253
421	0.3524607175
422	0.3522929132
423	0.3522069861
424	0.3520996252
425	0.3520370098
426	0.3518520252
427	0.351723923
428	0.351660295
429	0.3514248588
430	0.3513415456
431	0.3512701689
432	0.3511244452
433	0.3509714528
434	0.3508020917
435	0.3506863425
436	0.3505139663
437	0.3504501681
438	0.3503115046
439	0.3501720794
440	0.35007723
441	0.3499754066
442	0.3498535737
443	0.3497147396
444	0.349543298
445	0.3493473405
446	0.3492245589
447	0.3491066653
448	0.3489395528
449	0.348837512
450	0.3486147644
451	0.3484678408
452	0.3482520947
453	0.3481526111
454	0.3478636184
455	0.347713575
456	0.3475650499
457	0.3474420334
458	0.3473153347
459	0.3471541981
460	0.3470820461
461	0.3469080905
462	0.3467703418
463	0.3466208537
464	0.3464810505
465	0.3463017247
466	0.3461986406
467	0.346120489
468	0.3459585487
469	0.3457766665
470	0.3456429738
471	0.345490003
472	0.3453876196
473	0.3452987651
474	0.3450795264
475	0.3449145181
476	0.3447132766
477	0.3446108697
478	0.3444169985
479	0.3442228677
480	0.3441332503
481	0.3439898877
482	0.3438664222
483	0.3437557624
484	0.3435905831
485	0.3433807388
486	0.3432709958
487	0.3431951107
488	0.3431253081
489	0.3430442301
490	0.3429116262
491	0.3427261281
492	0.3425778433
493	0.3424608047
494	0.3423575031
495	0.3422479236
496	0.3421462473
497	0.342037518
498	0.3419024359
499	0.3417461764
500	0.3415891393
501	0.3415049739
502	0.3413924365
503	0.3412470965
504	0.341106299
505	0.3410622133
506	0.3409451247
507	0.3408377666
508	0.3407617282
509	0.3406276457
510	0.3405080348
511	0.3404185474
512	0.340234732
513	0.3401318889
514	0.3400094503
515	0.3399350509
516	0.3397726191
517	0.339671505
518	0.3395250586
519	0.3394525675
520	0.3392936174
521	0.3390726047
522	0.3389753188
523	0.3388816742
524	0.3387851427
525	0.3386435527
526	0.3384851809
527	0.3383266873
528	0.3382112719
529	0.338127356
530	0.3380386818
531	0.3379260467
532	0.3378079226
533	0.337669945
534	0.3375553626
535	0.3373273857
536	0.3371439851
537	0.3371110395
538	0.3369607635
539	0.3367593715
540	0.3366244369
541	0.3365250562
542	0.3364609101
543	0.3363311071
544	0.3362138933
545	0.3360035822
546	0.33592046
547	0.3358129378
548	0.3356578539
549	0.3355917232
550	0.335395308
551	0.3352139222
552	0.3350778016
553	0.334950531
554	0.3348420865
555	0.3347603502
556	0.3346374963
557	0.334517082
558	0.3344194403
559	0.3343133686
560	0.334251659
561	0.3341561255
562	0.3340790618
563	0.3339508716
564	0.3338558408
565	0.3337383646
566	0.3336549202
567	0.3335701341
568	0.3334358875
569	0.3332999898
570	0.3331939702
571	0.3330244785
572	0.3329457195
573	0.332780811
574	0.3326217443
575	0.332492641
576	0.3323553441
577	0.3322538845
578	0.3321049094
579	0.3320359784
580	0.3319375208
581	0.3318272389
582	0.3317708741
583	0.3316375713
584	0.3314600918
585	0.3313354614
586	0.3311911373
587	0.331106419
588	0.3310372677
589	0.3309305226
590	0.3308324727
591	0.3307030708
592	0.3306229541
593	0.3304926092
594	0.330381607
595	0.3302527716
596	0.3301505258
597	0.3300636532
598	0.3299650928
599	0.3298160419
600	0.3297022393
601	0.3295663496
602	0.3294892529
603	0.329412987
604	0.3293219704
605	0.3291459009
606	0.3289643578
607	0.3288719235
608	0.3286973186
609	0.3285364622
610	0.3284663341
611	0.3284232163
612	0.3282541148
613	0.3281810123
614	0.3280161597
615	0.3278363232
616	0.3277036102
617	0.3276269469
618	0.3275354555
619	0.3274083575
620	0.3272499797
621	0.3271741045
622	0.3270548207
623	0.326917916
624	0.3266995169
625	0.3266470968
626	0.3265838063
627	0.3265228757
628	0.3264496368
629	0.3263410413
630	0.326178851
631	0.3260771252
632	0.325980162
633	0.3258415797
634	0.3256858063
635	0.3255296727
636	0.3253709572
637	0.3252660255
638	0.3251449936
639	0.3250410311
640	0.3249470254
641	0.3248748262
642	0.3247282535
643	0.324633576
644	0.3245432598
645	0.3243931165
646	0.3242910025
647	0.3241908326
648	0.3240422204
649	0.3238879618
650	0.3237773548
651	0.3236894785
652	0.3235454616
653	0.323423071
654	0.3232831175
655	0.3231401892
656	0.3229892291
657	0.3229025094
658	0.3227792522
659	0.3226951205
660	0.3225960686
661	0.3224983361
662	0.3224837288
663	0.3223681751
664	0.3222437772
665	0.3221719627
666	0.3220635351
667	0.3219508946
668	0.3218775046
669	0.3217690524
670	0.3216539152
671	0.3215332983
672	0.3214385709
673	0.321356439
674	0.3211993714
675	0.3211138311
676	0.3209783831
677	0.3208659503
678	0.3207846534
679	0.3206432896
680	0.3205539971
681	0.3204051158
682	0.3202952515
683	0.3201645135
684	0.3200641563
685	0.3199327383
686	0.3198358281
687	0.3196846749
688	0.3196015264
689	0.3194898615
690	0.3193789465
691	0.3192524053
692	0.3191822058
693	0.3190896963
694	0.3189704809
695	0.3188341973
696	0.3187324398
697	0.318621782
698	0.3184970838
699	0.3183522273
700	0.3182363908
701	0.318140987
702	0.3180631496
703	0.3179813491
704	0.3178794847
705	0.3177568013
706	0.31767051
707	0.317478546
708	0.3174036916
709	0.317310829
710	0.317243459
711	0.3171431582
712	0.3170172534
713	0.3169018681
714	0.3168069947
715	0.3167152384
716	0.3166088816
717	0.316496478
718	0.3164149719
719	0.316326352
720	0.3162027882
721	0.316126346
722	0.316001126
723	0.3159345419
724	0.315806157
725	0.3156743474
726	0.3155882232
727	0.3154804058
728	0.3153406205
729	0.3151891348
730	0.3150715276
731	0.3149339904
732	0.3148269245
733	0.3147081838
734	0.3146126115
735	0.314489192
736	0.3143938274
737	0.3143295777
738	0.3142409398
739	0.3141089758
740	0.3140136102
741	0.3139194869
742	0.313779989
743	0.3136826832
744	0.3135745082
745	0.3134641145
746	0.3132784345
747	0.3131439855
748	0.3129564755
749	0.3129086937
750	0.3128470459
751	0.312745526
752	0.3126609717
753	0.312637277
754	0.3124543718
755	0.312404222
756	0.3123062738
757	0.3121328215
758	0.3120394503
759	0.3119925638
760	0.3118862876
761	0.3118241138
762	0.3117449737
763	0.3116178432
764	0.3115115531
765	0.3114360043
766	0.3113303437
767	0.3111982459
768	0.311021366
769	0.310906647
770	0.3107961795
771	0.3107249404
772	0.3106048219
773	0.3104913057
774	0.3103843243
775	0.3102990092
776	0.3102048067
777	0.3100737826
778	0.3100007942
779	0.3099058716
780	0.3097988343
781	0.3096326402
782	0.3095744179
783	0.3094062386
784	0.3093087177
785	0.3091666244
786	0.3090701787
