iter	Passed	Remaining
0	5	5303
1	10	5364
2	16	5504
3	22	5533
4	27	5563
5	33	5564
6	38	5527
7	44	5527
8	50	5538
9	56	5549
10	62	5602
11	68	5671
12	75	5742
13	82	5785
14	89	5844
15	97	5975
16	103	6009
17	110	6049
18	117	6081
19	123	6041
20	130	6091
21	138	6177
22	146	6212
23	153	6241
24	160	6278
25	168	6303
26	175	6329
27	183	6356
28	188	6314
29	194	6277
30	201	6288
31	208	6316
32	215	6318
33	221	6282
34	226	6249
35	232	6229
36	239	6239
37	247	6264
38	252	6214
39	257	6185
40	265	6203
41	272	6216
42	278	6205
43	284	6179
44	290	6154
45	295	6131
46	302	6127
47	309	6142
48	317	6155
49	324	6170
50	331	6160
51	337	6145
52	342	6126
53	348	6109
54	354	6091
55	360	6076
56	367	6075
57	373	6058
58	379	6045
59	385	6032
60	391	6019
61	398	6029
62	404	6014
63	410	6002
64	416	5988
65	421	5971
66	428	5963
67	433	5944
68	439	5931
69	445	5924
70	451	5908
71	457	5891
72	462	5877
73	468	5858
74	473	5841
75	479	5825
76	484	5808
77	490	5799
78	496	5787
79	502	5775
80	507	5759
81	512	5741
82	518	5729
83	524	5716
84	530	5705
85	535	5692
86	541	5677
87	546	5665
88	552	5660
89	559	5652
90	565	5644
91	570	5632
92	576	5621
93	582	5615
94	588	5610
95	595	5610
96	601	5601
97	607	5589
98	612	5578
99	618	5567
100	624	5556
101	629	5542
102	633	5516
103	639	5506
104	644	5495
105	651	5493
106	657	5487
107	663	5476
108	673	5504
109	679	5495
110	684	5484
111	691	5480
112	697	5478
113	704	5473
114	708	5453
115	714	5445
116	721	5445
117	728	5447
118	735	5444
119	741	5438
120	748	5434
121	754	5432
122	760	5424
123	767	5418
124	772	5410
125	779	5405
126	784	5395
127	790	5384
128	796	5379
129	802	5368
130	808	5361
131	814	5354
132	820	5347
133	826	5338
134	831	5327
135	838	5323
136	844	5319
137	850	5314
138	856	5306
139	862	5299
140	869	5294
141	875	5288
142	881	5282
143	887	5275
144	893	5266
145	899	5263
146	905	5254
147	911	5248
148	917	5240
149	923	5232
150	929	5226
151	935	5219
152	941	5213
153	947	5205
154	952	5194
155	958	5186
156	964	5176
157	969	5168
158	976	5163
159	982	5157
160	988	5152
161	994	5144
162	1000	5138
163	1006	5130
164	1012	5121
165	1017	5111
166	1023	5106
167	1029	5099
168	1036	5095
169	1042	5088
170	1048	5082
171	1054	5075
172	1060	5068
173	1066	5064
174	1074	5063
175	1080	5060
176	1086	5053
177	1094	5053
178	1101	5050
179	1113	5072
180	1120	5069
181	1126	5065
182	1132	5057
183	1138	5050
184	1145	5046
185	1152	5045
186	1159	5043
187	1175	5078
188	1183	5079
189	1191	5078
190	1198	5074
191	1204	5069
192	1212	5068
193	1218	5063
194	1224	5056
195	1231	5053
196	1238	5049
197	1244	5042
198	1251	5037
199	1258	5034
200	1265	5029
201	1272	5025
202	1280	5025
203	1287	5024
204	1294	5020
205	1301	5015
206	1310	5018
207	1317	5017
208	1323	5009
209	1330	5006
210	1341	5016
211	1347	5009
212	1354	5004
213	1363	5007
214	1371	5008
215	1378	5003
216	1385	5000
217	1395	5004
218	1401	4998
219	1408	4992
220	1415	4989
221	1422	4986
222	1429	4980
223	1435	4973
224	1442	4969
225	1449	4963
226	1454	4954
227	1461	4947
228	1467	4940
229	1475	4938
230	1481	4930
231	1486	4922
232	1493	4915
233	1499	4908
234	1507	4905
235	1513	4898
236	1519	4891
237	1526	4886
238	1532	4881
239	1539	4875
240	1545	4868
241	1552	4863
242	1559	4858
243	1567	4856
244	1573	4849
245	1580	4843
246	1587	4840
247	1594	4835
248	1600	4828
249	1606	4820
250	1611	4808
251	1628	4835
252	1634	4825
253	1640	4819
254	1649	4819
255	1656	4813
256	1662	4805
257	1668	4799
258	1675	4794
259	1682	4789
260	1688	4781
261	1694	4774
262	1707	4783
263	1713	4777
264	1719	4768
265	1726	4763
266	1731	4753
267	1738	4747
268	1744	4740
269	1751	4734
270	1759	4732
271	1766	4726
272	1772	4719
273	1779	4715
274	1796	4736
275	1803	4730
276	1810	4726
277	1816	4718
278	1823	4712
279	1830	4707
280	1836	4700
