#{"t_start": 1767870456.440601, "env_id": "LunarLander-v3"}
r,l,t
-309.725066,112,1022.804439
-104.928744,100,1022.81095
-256.017024,119,1022.818458
-83.984128,121,1022.825472
-365.532396,111,1022.832981
-270.309666,87,1022.83899
-272.754839,87,1022.844661
15.932124,87,1022.849345
-126.315105,97,1022.855979
-11.022895,114,1022.8632
-110.477091,79,1022.868794
-252.190237,80,1022.873473
0.770406,73,1022.879096
-187.807904,74,1022.883147
-156.211144,105,1022.88948
-100.470939,82,1022.894609
-141.897805,64,1022.899703
-74.445212,72,1022.904395
-291.786494,106,1022.910109
-211.203623,83,1022.917804
-81.14895,76,1022.923313
-104.619073,81,1022.928323
-172.651526,79,1022.933323
-247.631112,101,1022.939333
-91.970105,113,1022.946347
-103.988015,96,1022.952854
-167.661332,80,1022.95736
-86.875825,101,1022.962866
-329.054018,102,1022.969877
-166.634419,106,1022.976466
-379.867633,88,1022.981972
-293.40788,99,1022.98848
-201.974144,72,1022.992988
-106.624851,68,1022.997666
-205.634344,92,1023.003263
-194.966669,105,1023.009581
-88.416686,110,1023.017081
-400.730322,104,1023.023593
-67.949674,76,1023.029181
-87.219226,94,1023.035293
-106.183954,60,1023.040041
-110.046617,82,1023.044628
-83.410106,89,1023.050243
-223.611114,76,1023.054917
-224.683708,67,1023.059922
-127.535306,99,1023.065429
-108.194434,112,1023.071937
-267.490975,80,1023.077446
-105.915661,75,1023.082954
-276.047787,94,1023.08806
-147.329033,103,1023.094581
-148.662007,122,1023.102128
-194.570362,107,1023.108147
-70.451472,65,1023.112663
-120.253682,113,1023.119319
-425.465975,88,1023.124836
-109.574668,72,1023.130359
-41.207725,69,1023.134861
-142.018174,100,1023.140868
-334.72058,99,1023.146887
-132.071991,98,1023.153389
-179.450697,64,1023.157895
-145.315476,111,1023.164402
-200.985116,65,1023.168302
-118.929474,63,1023.174302
-109.944209,101,1023.180117
-91.853482,73,1023.185125
-405.451113,85,1023.190128
-298.234081,79,1023.196142
-209.572623,77,1023.20066
-111.371174,68,1023.205172
-110.705229,81,1023.210681
-277.908472,98,1023.216797
-129.544843,106,1023.224306
-306.330367,96,1023.229985
-87.99769,60,1023.232988
-68.188773,64,1023.237494
-141.851413,111,1023.244503
-107.931803,75,1023.249017
-134.699111,84,1023.255025
-100.932687,60,1023.259036
-314.664901,87,1023.265034
-368.171407,108,1023.271539
-256.303972,90,1023.277047
-396.554634,89,1023.28306
-196.397816,104,1023.29009
-291.360056,103,1023.296595
-60.709434,59,1023.300597
-103.887239,110,1023.308635
-330.977412,116,1023.316649
-495.630672,113,1023.323164
-102.703034,76,1023.32824
-309.388359,109,1023.336277
