user,movie,rating
9,Dunkirk,2
3,Memento,1
20,Batman Begins,3
13,The Dark Knight,3
2,The Prestige,1
12,Inception,3
15,Tenet,1
19,The Prestige,3
12,Interstellar,5
5,Interstellar,5
9,The Prestige,3
8,Batman Begins,1
15,Dunkirk,2
7,Dunkirk,5
15,Oppenheimer,4
10,Interstellar,5
15,Tenet,4
19,Batman Begins,2
6,Interstellar,2
13,Interstellar,2
13,Dunkirk,1
14,Oppenheimer,3
2,Dunkirk,3
11,Interstellar,4
7,Memento,3
18,Insomnia,3
12,Tenet,1
3,Interstellar,5
3,Oppenheimer,1
9,Following,5
10,Following,5
13,Insomnia,3
3,Following,3
9,Dunkirk,1
13,Oppenheimer,2
10,Tenet,4
9,Inception,5
6,The Prestige,3
2,Inception,3
12,The Dark Knight,3
4,Tenet,1
3,Inception,3
8,Batman Begins,1
13,Insomnia,4
9,The Prestige,5
9,The Prestige,3
16,Batman Begins,2
16,Inception,5
1,Insomnia,3
6,Oppenheimer,2
8,Dunkirk,5
4,Interstellar,5
10,Batman Begins,1
11,Following,2
18,The Dark Knight,4
16,Inception,3
14,Batman Begins,2
4,Tenet,5
6,Interstellar,3
4,Oppenheimer,3
11,Memento,2
10,Dunkirk,3
9,Following,4
12,Dunkirk,3
5,The Dark Knight,2
20,Memento,5
19,Interstellar,1
14,Insomnia,2
3,The Dark Knight,1
17,Batman Begins,5
19,Inception,4
20,Following,4
16,The Dark Knight,5
18,Batman Begins,1
7,Insomnia,1
4,The Prestige,1
16,Following,3
16,The Prestige,5
12,Oppenheimer,2
15,Following,5
16,Dunkirk,1
19,Dunkirk,5
12,Memento,4
15,Following,2
20,Oppenheimer,4
14,Memento,2
6,The Prestige,5
11,Interstellar,2
11,Dunkirk,2
1,Batman Begins,5
6,The Dark Knight,2
20,Batman Begins,2
1,Interstellar,3
3,Inception,3
10,Batman Begins,4
18,Interstellar,5
12,Oppenheimer,1
18,The Prestige,4
4,The Dark Knight,4
19,Following,4
9,Batman Begins,3
1,Memento,5
8,Insomnia,1
5,Memento,5
5,The Prestige,2
20,Dunkirk,5
3,Memento,1
18,Tenet,1
13,The Prestige,1
2,Inception,3
6,Interstellar,4
2,Insomnia,3
19,Memento,2
3,Dunkirk,5
18,Oppenheimer,1
1,Oppenheimer,3
12,Dunkirk,5
4,Interstellar,4
20,The Dark Knight,4
6,The Prestige,2
6,Following,4
4,Memento,3
20,Dunkirk,5
14,Dunkirk,3
8,Batman Begins,4
11,The Prestige,1
13,Insomnia,2
19,Following,2
6,Inception,1
10,Dunkirk,5
5,Inception,4
2,Inception,1
10,Inception,1
7,Following,3
8,Insomnia,1
3,Tenet,2
16,Following,4
10,Tenet,5
20,The Prestige,2
12,Following,1
2,Following,5
7,Interstellar,2
7,The Prestige,2
4,The Prestige,2
19,Tenet,2
5,The Prestige,5
15,Interstellar,2
11,Tenet,3
5,Interstellar,5
19,Memento,3
3,The Prestige,5
6,Inception,2
7,Following,5
17,Tenet,1
18,Following,2
13,Batman Begins,4
2,Tenet,2
7,Tenet,2
13,Batman Begins,4
20,Following,2
9,Inception,3
13,Oppenheimer,2
13,The Prestige,5
8,Memento,1
1,Insomnia,4
17,Dunkirk,1
1,Following,3
5,Tenet,1
12,Oppenheimer,4
13,Dunkirk,1
20,Batman Begins,1
4,Tenet,1
2,Memento,1
18,Interstellar,5
14,Tenet,4
10,Insomnia,2
1,Inception,3
7,Dunkirk,3
8,Inception,1
5,Insomnia,1
4,Oppenheimer,4
4,Tenet,1
15,Dunkirk,2
8,Interstellar,1
2,Memento,1
1,Memento,2
10,Insomnia,4
15,Following,4
13,Following,5
4,Interstellar,5
15,The Dark Knight,3
18,Following,1
11,Oppenheimer,2
6,Inception,4
18,Batman Begins,4
11,Interstellar,5
16,Memento,3
10,The Dark Knight,5
12,The Prestige,1
2,Oppenheimer,1
11,Following,1
4,Following,2
16,Oppenheimer,3
10,Following,4
8,Batman Begins,5
12,Batman Begins,1
8,Memento,3
5,Tenet,4
7,Memento,3
18,Memento,5
15,Batman Begins,3
5,Interstellar,5
12,The Prestige,3
5,Following,4
2,Oppenheimer,3
7,Inception,1
18,Inception,4
17,Dunkirk,1
8,Inception,4
10,Tenet,5
